referencia;nome;preco;quantidade;material;cores;gramatura;tamanho_arte;tamanho_final;peso;imagem;gabarito 
ABP1C;ABAD� SUBLIMACAO TAMANHOS DIVERSOS - 4X0 - 1unid - ABP1C;R$ 18,50;1 unid.;Tecido elanca light;4x0;10g;1100x760mm;540x720mm;100g;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/30A50350-B2F3-4949-89DD-AB45CC3713A4/FOTOS/ABADA-SUBLIMACAO-TAMANHOS-DIVERSOS-4X0-1-ABP1C-1.jpg;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/gabaritos/zip/ABADA-4-0-1100X760-ABP1C.zip
ABP1C;ABAD� SUBLIMACAO TAMANHOS DIVERSOS - 4X0 - 1unid - ABP1C;R$ 69,00;2 unid.;Tecido elanca light;4x0;10g;1100x760mm;540x720mm;100g;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/30A50350-B2F3-4949-89DD-AB45CC3713A4/FOTOS/ABADA-SUBLIMACAO-TAMANHOS-DIVERSOS-4X0-1-ABP1C-1.jpg;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/gabaritos/zip/ABADA-4-0-1100X760-ABP1C.zip
ABP1C;ABAD� SUBLIMACAO TAMANHOS DIVERSOS - 4X0 - 1unid - ABP1C;R$ 37,00;3 unid.;Tecido elanca light;4x0;10g;1100x760mm;540x720mm;100g;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/30A50350-B2F3-4949-89DD-AB45CC3713A4/FOTOS/ABADA-SUBLIMACAO-TAMANHOS-DIVERSOS-4X0-1-ABP1C-1.jpg;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/gabaritos/zip/ABADA-4-0-1100X760-ABP1C.zip
ABP1C;ABAD� SUBLIMACAO TAMANHOS DIVERSOS - 4X0 - 1unid - ABP1C;R$ 55,50;4 unid.;Tecido elanca light;4x0;10g;1100x760mm;540x720mm;100g;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/30A50350-B2F3-4949-89DD-AB45CC3713A4/FOTOS/ABADA-SUBLIMACAO-TAMANHOS-DIVERSOS-4X0-1-ABP1C-1.jpg;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/gabaritos/zip/ABADA-4-0-1100X760-ABP1C.zip
ABP1C;ABAD� SUBLIMACAO TAMANHOS DIVERSOS - 4X0 - 1unid - ABP1C;R$ 74,00;5 unid.;Tecido elanca light;4x0;10g;1100x760mm;540x720mm;100g;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/30A50350-B2F3-4949-89DD-AB45CC3713A4/FOTOS/ABADA-SUBLIMACAO-TAMANHOS-DIVERSOS-4X0-1-ABP1C-1.jpg;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/gabaritos/zip/ABADA-4-0-1100X760-ABP1C.zip
ABP1C;ABAD� SUBLIMACAO TAMANHOS DIVERSOS - 4X0 - 1unid - ABP1C;R$ 92,50;6 unid.;Tecido elanca light;4x0;10g;1100x760mm;540x720mm;100g;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/30A50350-B2F3-4949-89DD-AB45CC3713A4/FOTOS/ABADA-SUBLIMACAO-TAMANHOS-DIVERSOS-4X0-1-ABP1C-1.jpg;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/gabaritos/zip/ABADA-4-0-1100X760-ABP1C.zip
ABP1C;ABAD� SUBLIMACAO TAMANHOS DIVERSOS - 4X0 - 1unid - ABP1C;R$ 111,00;7 unid.;Tecido elanca light;4x0;10g;1100x760mm;540x720mm;100g;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/30A50350-B2F3-4949-89DD-AB45CC3713A4/FOTOS/ABADA-SUBLIMACAO-TAMANHOS-DIVERSOS-4X0-1-ABP1C-1.jpg;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/gabaritos/zip/ABADA-4-0-1100X760-ABP1C.zip
ABP1C;ABAD� SUBLIMACAO TAMANHOS DIVERSOS - 4X0 - 1unid - ABP1C;R$ 129,50;8 unid.;Tecido elanca light;4x0;10g;1100x760mm;540x720mm;100g;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/30A50350-B2F3-4949-89DD-AB45CC3713A4/FOTOS/ABADA-SUBLIMACAO-TAMANHOS-DIVERSOS-4X0-1-ABP1C-1.jpg;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/gabaritos/zip/ABADA-4-0-1100X760-ABP1C.zip
ABP1C;ABAD� SUBLIMACAO TAMANHOS DIVERSOS - 4X0 - 1unid - ABP1C;R$ 148,00;9 unid.;Tecido elanca light;4x0;10g;1100x760mm;540x720mm;100g;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/30A50350-B2F3-4949-89DD-AB45CC3713A4/FOTOS/ABADA-SUBLIMACAO-TAMANHOS-DIVERSOS-4X0-1-ABP1C-1.jpg;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/gabaritos/zip/ABADA-4-0-1100X760-ABP1C.zip
ABP1C;ABAD� SUBLIMACAO TAMANHOS DIVERSOS - 4X0 - 1unid - ABP1C;R$ 166,50;10 unid.;Tecido elanca light;4x0;10g;1100x760mm;540x720mm;100g;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/30A50350-B2F3-4949-89DD-AB45CC3713A4/FOTOS/ABADA-SUBLIMACAO-TAMANHOS-DIVERSOS-4X0-1-ABP1C-1.jpg;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/gabaritos/zip/ABADA-4-0-1100X760-ABP1C.zip
ABP1C;ABAD� SUBLIMACAO TAMANHOS DIVERSOS - 4X0 - 1unid - ABP1C;R$ 185,00;11 unid.;Tecido elanca light;4x0;10g;1100x760mm;540x720mm;100g;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/30A50350-B2F3-4949-89DD-AB45CC3713A4/FOTOS/ABADA-SUBLIMACAO-TAMANHOS-DIVERSOS-4X0-1-ABP1C-1.jpg;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/gabaritos/zip/ABADA-4-0-1100X760-ABP1C.zip
ABP1C;ABAD� SUBLIMACAO TAMANHOS DIVERSOS - 4X0 - 1unid - ABP1C;R$ 203,50;12 unid.;Tecido elanca light;4x0;10g;1100x760mm;540x720mm;100g;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/30A50350-B2F3-4949-89DD-AB45CC3713A4/FOTOS/ABADA-SUBLIMACAO-TAMANHOS-DIVERSOS-4X0-1-ABP1C-1.jpg;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/gabaritos/zip/ABADA-4-0-1100X760-ABP1C.zip
ABP1C;ABAD� SUBLIMACAO TAMANHOS DIVERSOS - 4X0 - 1unid - ABP1C;R$ 222,00;13 unid.;Tecido elanca light;4x0;10g;1100x760mm;540x720mm;100g;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/30A50350-B2F3-4949-89DD-AB45CC3713A4/FOTOS/ABADA-SUBLIMACAO-TAMANHOS-DIVERSOS-4X0-1-ABP1C-1.jpg;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/gabaritos/zip/ABADA-4-0-1100X760-ABP1C.zip
ABP1C;ABAD� SUBLIMACAO TAMANHOS DIVERSOS - 4X0 - 1unid - ABP1C;R$ 240,50;14 unid.;Tecido elanca light;4x0;10g;1100x760mm;540x720mm;100g;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/30A50350-B2F3-4949-89DD-AB45CC3713A4/FOTOS/ABADA-SUBLIMACAO-TAMANHOS-DIVERSOS-4X0-1-ABP1C-1.jpg;https://s3-sa-east-1.amazonaws.com/arquivosgraficas/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/gabaritos/zip/ABADA-4-0-1100X760-ABP1C.zip
